member_id,group_id,arm,X,base_rate,design_arm,objective,rr_penalty,tag_mix,tag_post,length_total,age_length_total,survey_index_total,catch_total,seconds,ok
1,7,include,0.3,0.515777638235011,include,129655.284804125,108.329754833,2541.4993267684195,3933.3304665400124,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,14.216960668563843,1
1,7,include,0.3555555555555555,0.515777638235011,include,109925.593730298,101.695790635,2520.3759249546874,3931.9895477011355,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.320604085922241,1
1,7,include,0.4111111111111111,0.515777638235011,include,99001.8643206299,97.2500980428,2496.870750679058,3931.0224230485624,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,11.839546918869019,1
1,7,include,0.4666666666666667,0.515777638235011,include,98277.0102509983,94.9926770552,2477.0856746398504,3931.2379903224114,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.627018451690674,1
1,7,include,0.5222222222222221,0.515777638235011,include,98265.5718591246,94.9235276725,2465.5508548934404,3931.9497361997096,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,13.054713010787964,1
1,7,include,0.5777777777777777,0.515777638235011,include,98268.188569748,97.0426498947,2465.0921724254904,3932.8382306894296,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.659204721450806,1
1,7,include,0.6333333333333333,0.515777638235011,include,98273.6293608766,101.350043722,2465.4030292745683,3933.6020398253827,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.234675168991089,1
1,7,include,0.6888888888888889,0.515777638235011,include,98281.3762286729,107.845709154,2465.9491245155277,3934.2564035906703,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,11.87211537361145,1
1,7,include,0.7444444444444445,0.515777638235011,include,98291.2861459222,116.529646191,2466.5672892338,3934.8201345395814,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.405298948287964,1
1,7,include,0.8,0.515777638235011,include,98303.31203659,127.401854833,2467.1930011750255,3935.309533034207,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.282798528671265,1
1,7,include,0.8462500000000001,0.515777638235011,include,98314.9274970256,138.122134239,2467.6992326442887,3935.6699003530534,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.331128597259521,1
1,7,include,0.8925000000000001,0.515777638235011,include,98327.9995931152,150.359008958,2468.184267332397,3935.9942383397215,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.445064783096313,1
1,7,include,0.93875,0.515777638235011,include,98342.5307813966,164.112478989,2468.6450146470897,3936.287728916381,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.377742767333984,1
1,7,include,0.985,0.515777638235011,include,98358.5247518267,179.382544333,2469.080546999008,3936.554684201607,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,12.74473524093628,1
1,7,exclude,0.3,0.515777638235011,include,98668.4457914172,108.329754833,2907.407856483064,3878.4503978556254,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,11.926833868026733,1
1,7,exclude,0.3555555555555555,0.515777638235011,include,98637.9468283854,101.695790635,2884.1396101942805,3877.8536452921308,89023.37679324303,3578.686406999189,-1034.7619995742,0.0,11.626890897750854,1
